"Airline","Origin_Airport","Stopover_Airport","Destination_Airport","Origin_Departure_Delay","Stopover_Arrival_Delay","Stopover_Departure_Delay","Destination_Arrival_Delay"
"AA","SFO","MIA","JFK","113","95","-5","-13"
"AA","SFO","PHX","JFK","0","-7","33","1"
"DL","SFO","ATL","JFK","10","-10","35","26"
"VX","SFO","LAX","JFK","23","17","-1","-41"
"AA","SFO","LAX","JFK","-2","-13","22","-5"
"VX","SFO","LAX","JFK","9","16","-1","-41"
"AA","SFO","PHX","JFK","-2","-4","2","-14"
"B6","SFO","FLL","JFK","-3","19","-2","1"
"VX","SFO","LAX","JFK","11","9","4","-21"
"VX","SFO","LAX","JFK","11","9","36","26"
"DL","SFO","DTW","JFK","10","-31","29","30"
"AA","SFO","PHX","JFK","-4","0","-3","-26"
"VX","SFO","LAX","JFK","-3","-1","15","9"
"AA","SFO","PHX","JFK","-3","-9","0","-20"
"AA","SFO","LAX","JFK","-8","2","19","16"
"VX","SFO","LAX","JFK","10","20","23","36"
"AA","SFO","LAX","JFK","-5","9","34","14"
"AA","SFO","MIA","JFK","0","-2","23","9"
"B6","SFO","FLL","JFK","23","16","1","8"
"B6","SFO","FLL","JFK","23","16","4","11"
"DL","SFO","ATL","JFK","-2","-8","10","-6"
"DL","SFO","ATL","JFK","5","-16","1","-7"
"AA","SFO","PHX","JFK","-3","-13","6","-31"
"DL","SFO","ATL","JFK","14","-6","21","12"
"AA","SFO","LAX","JFK","-6","-9","1","-26"
"AA","SFO","MIA","JFK","2","-14","-2","10"
"DL","SFO","ATL","JFK","9","-2","18","8"
"VX","SFO","LAX","JFK","4","7","8","-13"
"AA","SFO","PHX","JFK","3","17","13","3"
"B6","SFO","FLL","JFK","159","164","102","105"
"AA","SFO","CLT","JFK","-2","28","2","24"
"DL","SFO","LAX","JFK","114","113","35","22"
"DL","SFO","LAX","JFK","-4","21","35","22"
"AA","SFO","CLT","JFK","22","47","14","6"
"B6","SFO","BOS","JFK","39","18","107","99"
"B6","SFO","BOS","JFK","39","18","201","187"
"DL","SFO","LAX","JFK","-6","-8","72","51"
"DL","SFO","MSP","JFK","-2","-17","69","57"
"AA","SFO","CLT","JFK","1","18","14","6"
"AS","SFO","SEA","JFK","0","9","8","-25"
"B6","SFO","LAS","JFK","-10","-12","0","6"
"DL","SFO","LAX","JFK","99","92","12","24"
"AS","SFO","SEA","JFK","-6","-7","8","-25"
"VX","SFO","LAS","JFK","121","117","59","75"
"B6","SFO","LGB","JFK","45","37","130","125"
"DL","SFO","LAX","JFK","93","124","36","70"
"B6","SFO","BOS","JFK","126","120","-1","-12"
"B6","SFO","BOS","JFK","126","120","1","-8"
"AA","SFO","CLT","JFK","5","28","5","-4"
"AA","SFO","DFW","JFK","0","-17","86","78"
"DL","SFO","LAX","JFK","-1","-13","6","-31"
"AA","SFO","DFW","JFK","6","-10","86","78"
"AA","SFO","ORD","JFK","-5","121","287","276"
"DL","SFO","LAX","JFK","-2","-13","-1","-11"
"B6","SFO","LAS","JFK","1","-4","-10","-33"
"B6","SFO","BOS","JFK","-5","-1","1","-3"
"DL","SFO","LAX","JFK","-4","9","-5","16"
"DL","SFO","LAX","JFK","-4","9","-1","-33"
"AA","SFO","CLT","JFK","35","36","3","0"
"DL","SFO","LAX","JFK","13","28","0","-12"
"B6","SFO","LAS","JFK","-1","-8","-1","-11"
"DL","SFO","LAX","JFK","28","12","-1","-26"
"VX","SFO","LAS","JFK","9","10","0","-17"
"B6","SFO","LGB","JFK","6","-5","42","31"
"AA","SFO","CLT","JFK","-5","-16","33","29"
"AA","SFO","CLT","JFK","-1","-3","6","2"
"DL","SFO","LAX","JFK","10","-2","0","-20"
"DL","SFO","LAX","JFK","-5","-14","3","-19"
"B6","SFO","LAS","JFK","2","-10","6","-8"
"DL","SFO","LAX","JFK","-3","2","0","-15"
"DL","SFO","LAX","JFK","-3","2","1","-15"
"AA","SFO","DFW","JFK","-2","-22","2","-24"
"AA","SFO","ORD","JFK","-1","-7","42","9"
"AA","SFO","CLT","JFK","-3","-5","51","49"
"AA","SFO","CLT","JFK","-3","-1","7","19"
"DL","SFO","LAX","JFK","14","9","22","-4"
"DL","SFO","SLC","JFK","295","281","2","-11"
"B6","SFO","LAS","JFK","10","1","6","-15"
"DL","SFO","LAX","JFK","11","12","35","15"
"AS","SFO","SEA","JFK","-6","-15","3","-17"
"VX","SFO","LAS","JFK","8","4","13","-9"
"VX","SFO","LAS","JFK","-2","-13","13","-9"
"DL","SFO","LAX","JFK","374","352","-3","-36"
"B6","SFO","BOS","JFK","141","132","68","66"
"AA","SFO","CLT","JFK","-2","-19","-1","-5"
"AA","SFO","CLT","JFK","-5","1","27","24"
"AA","SFO","DFW","JFK","13","-9","-3","-13"
"DL","SFO","LAX","JFK","3","-9","7","-27"
"DL","SFO","LAX","JFK","0","55","0","-36"
"AA","SFO","DFW","JFK","-5","-31","-2","-19"
"AA","SFO","ORD","JFK","6","-17","95","69"
"AA","SFO","CLT","JFK","7","-13","17","12"
"DL","SFO","LAX","JFK","72","76","10","-20"
"B6","SFO","LAS","JFK","-1","-15","215","179"
"DL","SFO","LAX","JFK","79","72","42","2"
"VX","SFO","LAS","JFK","20","16","23","-1"
"AS","SFO","SEA","JFK","-2","0","111","86"
"VX","SFO","LAS","JFK","-3","-4","23","-1"
"B6","SFO","BOS","JFK","33","3","2","1"
"AA","SFO","CLT","JFK","-1","-37","-5","-16"
"AA","SFO","CLT","JFK","8","-21","4","-9"
"AA","SFO","ORD","JFK","-2","-21","13","4"
"AA","SFO","DFW","JFK","5","-19","-1","-32"
"DL","SFO","LAX","JFK","-1","5","29","-16"
"B6","SFO","LAS","JFK","-8","-15","0","-37"
"DL","SFO","LAX","JFK","46","46","-1","-38"
"AA","SFO","DFW","JFK","-4","-30","1","-10"
"AA","SFO","ORD","JFK","-7","-40","-3","-35"
"AA","SFO","CLT","JFK","3","-31","3","1"
"DL","SFO","LAX","JFK","-9","-12","-1","-38"
